In/H1,H1/H2,H2/Out,Graph
-0.7051778,-1.0,-0.38246763,4
1.0,0.86563694,-0.17039181,4
-0.7629422,0.55665183,0.27677417,5
-0.6281549,-0.124341026,-0.20786107,6
-0.23820591,0.43160987,-0.3866147,6
-0.9245107,-0.11326444,-0.059773803,9
-0.873827,-0.20483938,0.13557914,9
-0.39057752,0.015620232,0.08080047,10
0.53294474,-0.27797455,0.5598695,16
-0.9592643,0.6108372,-0.20817086,16
0.23765048,0.8497441,-0.37207478,16
-0.97611684,-0.2626893,0.37480548,17
-0.6167369,0.5195011,0.6043713,20
-0.31057557,-0.8068424,-1.0,23
0.31930512,-0.13155599,1.0,23
-0.4078181,-0.66577107,-0.59762144,23
-0.933403,0.6767316,0.5620485,23
0.09487453,0.5041779,-0.23140013,23
0.45542437,1.0,0.16801761,23
-0.2604518,1.0,0.033639893,23
0.85764253,1.0,-0.83538663,23
0.044737697,0.23895025,-0.41591442,29
-0.5346972,0.23904474,0.651649,31
0.18039215,0.21324612,-0.95257306,52
-0.741933,0.65504444,0.6483498,56
-1.0,0.33898148,-0.10095325,95
-0.9902079,-0.35006815,-0.07459222,95
0.3895371,-0.8689588,0.14962871,95
0.4159426,-0.81405413,0.33532122,95
-0.7861672,-0.9622701,0.94087696,105
-0.6656908,-0.84851843,0.9800619,105
0.05678889,-0.8529672,0.2343743,107
-0.5392042,-0.6447249,-0.8237301,107
-0.16537078,-0.2900747,-0.14880401,107
-0.4767263,-0.36033034,-0.1954484,107
-0.40840465,0.40448698,0.38523096,
0.9316814,0.35539576,-0.95124876,
0.31208554,0.23404828,-0.17805858,
-0.036281087,1.0,0.87092435,
-0.65429556,0.06648409,-0.11000773,
0.54046845,-0.15686509,-0.42687398,
-0.19491076,0.8312254,0.58402026,
-0.85424614,0.7733204,-0.35875583,
0.70108473,0.14080596,-0.47521663,
0.6905961,0.36716354,-0.37188545,
0.37595287,-1.0,-0.49001384,
0.22633672,-0.34092963,-0.73969626,
0.24165682,-0.23358211,0.99267775,
-0.3058223,0.35715783,-1.0,
1.0,0.6357572,-0.4662156,
-0.21758765,-0.96270275,-0.55134135,
0.036024556,0.45190868,0.10543868,
0.4514624,0.91359377,0.51444006,
0.18478797,0.33496112,0.51440954,
0.5136113,0.75521487,-0.28045297,
-0.51096934,-0.74369586,1.0,
-0.24882486,0.531212,-0.5015154,
0.46421337,0.83876216,-0.8067045,
-0.892064,-0.8466888,-0.089604706,
0.9849707,0.23680647,0.69266677,
0.7988527,-0.2557813,0.427441,
-0.17362231,-0.35787365,-0.25682306,
-0.46507248,1.0,0.25110474,
-0.1916076,0.5314392,-0.12786214,
-0.5448405,-0.29446974,0.47487247,
0.92599374,-0.807405,-0.44258633,
-0.42900935,0.02451352,-0.5844443,
0.06674801,-0.747658,0.8287736,
-0.3546981,-0.29206765,-0.59426475,
1.0,0.7073178,0.4730483,
0.47936773,1.0,-0.785573,
1.0,-0.2720163,-0.08438874,
0.727337,-0.5354091,-0.15302631,
0.42546952,0.89308846,-1.0,
-0.34244847,-0.6465603,-0.8574127,
0.8468858,0.017731905,0.37523594,
0.23106778,0.37371737,,
-0.35657918,-0.18662305,,
0.011973475,-0.13696548,,
-0.914284,0.42962652,,
0.8321248,0.9971869,,
0.31068337,-0.12056528,,
0.27655244,-0.67299116,,
0.73461705,0.68347514,,
-0.0865946,0.76289105,,
0.9476242,-0.49440446,,
-0.6331295,-0.4538003,,
-0.66139054,0.8645148,,
0.90789753,0.7397201,,
-1.0,1.0,,
0.8524367,-0.71090627,,
-0.2816543,-0.3160732,,
-0.007964104,-0.2448219,,
0.11107911,-0.8917807,,
-0.7815603,0.1996823,,
-0.63229465,-0.86877155,,
0.72333646,-0.82777476,,
-0.114962846,-0.40082294,,
-0.30246305,0.75122714,,
-0.6564709,0.36649475,,
-1.0,0.59713936,,
0.07869884,-0.6499923,,
-0.051669925,0.3364699,,
0.39007366,-0.16154768,,
0.5300801,-0.9475071,,
-0.56903154,-0.7812193,,
0.5600601,0.67462575,,
-0.67218006,-0.8476883,,
-0.8039311,0.6850845,,
-0.55968094,0.20609418,,
0.90823424,0.51221144,,
0.67011565,-1.0,,
0.34003043,0.64450246,,
-0.24062347,-0.4160287,,
-0.18185715,-0.38841093,,
0.78583723,0.12441617,,
0.18195431,1.0,,
0.6030985,-0.24099672,,
0.37935895,-0.37838945,,
0.15055121,0.9814527,,
-0.96352446,-0.57123876,,
0.07018003,-0.87845117,,
-0.6110299,-0.672438,,
0.48896724,-0.13672322,,
0.8014722,-0.64873004,,
1.0,-0.3053279,,
1.0,-0.7490096,,
-0.4785778,-0.75198567,,
