In/H1,H1/H2,H2/Out,Graph
0.0046577454,0.8547764,0.23109163,4
0.9548073,-0.4333645,-0.1690817,4
-0.91585946,0.75437903,-0.2873938,4
-0.009007454,0.5899167,0.7020046,6
1.0,0.39403272,0.6354964,6
0.048946083,0.6605814,-0.79596555,7
-0.62346375,-0.15574335,-0.81240404,7
0.7222834,0.22259605,0.23625469,7
0.6110908,-0.9877516,0.50252676,8
0.62336487,0.53902626,0.043492094,15
-0.7330611,-1.0,-0.5039259,24
-0.83317184,-1.0,0.5283843,27
0.68027365,-0.42319748,0.921062,42
0.27445483,-0.28189093,0.22472426,48
0.14270806,0.32911205,-0.17198165,49
-0.14192784,0.695843,-0.7073861,59
0.34965432,0.013332009,0.33488554,74
-0.5992339,-0.953583,0.22019444,74
0.6890088,0.43551755,0.58888865,87
0.06745709,-0.7483104,0.90997183,91
-0.82314676,-0.38017583,-0.23587072,91
0.32443196,-0.9722791,0.4680604,96
0.5195614,-0.4863671,0.8386935,96
-1.0,-0.63861,0.8004257,96
0.025429346,0.4305172,-0.020410538,
0.2763939,0.53546727,-0.6601193,
0.29653233,-0.80731833,-0.02266097,
0.79381746,0.5527695,-0.031339288,
0.35052153,0.844854,0.4357809,
-0.66870105,0.23307566,0.15152873,
0.7601944,0.778476,0.2002635,
0.7298753,-0.6649932,0.16275299,
1.0,0.6716545,0.91603523,
-0.16074985,-0.8604012,-1.0,
1.0,-0.68912864,-0.426597,
-0.9148207,0.16044845,-0.7340268,
-0.5202218,-0.3405887,-0.51578605,
0.7577034,-0.5321549,-0.88741845,
0.99898225,0.16831565,-0.1915909,
-0.49265465,-0.4708201,-0.714921,
-0.8795117,-0.54589,-0.90537757,
0.4719106,-0.4035221,-0.31542653,
0.55988574,0.4362135,-1.0,
-0.16045368,1.0,0.37184614,
0.55791163,-0.9966786,-0.1556471,
-0.62356114,-0.4866476,0.6722275,
0.3139087,0.97400624,-0.40558994,
-0.032461524,-0.1677587,0.8170502,
