In/H1,H1/H2,H2/Out,Graph
-0.5841527,0.6110091,-0.35905695,3
-0.9471631,1.0,-0.5451921,6
-0.4697934,-0.5751447,-0.25309837,5
1.0,1.0,0.3588438,6
0.65403295,0.09547579,-0.930038,7
0.5456022,-0.63956,0.7810826,8
-0.94773686,0.5160221,-0.10904837,15
0.8604074,-0.4341153,-0.94312775,31
-0.6026175,-0.20824772,-0.4311316,31
-0.43828487,-0.827558,-0.38205528,31
0.9565048,1.0,0.20737243,38
0.124367,0.2897137,0.287279,59
-0.54005295,-0.18384182,0.8296462,59
0.014884114,-0.38316444,0.31838357,
0.737869,0.7065015,-0.28636968,
0.230842,0.75156415,0.78591764,
-0.87279975,-0.77837443,-0.23989412,
-0.9108002,-0.8436283,-0.6947193,
0.9291601,0.6860573,0.25014752,
0.103548974,0.64800537,0.47136676,
0.37428313,0.46979272,1.0,
0.21595682,-0.8715053,1.0,
-0.010181934,-0.23181307,-0.70032954,
-0.8240479,0.51673293,0.12592793,
0.8605208,-0.1321192,-0.28716883,
-0.613505,-0.77053905,-0.07494235,
0.30198503,0.30706024,0.3430518,
0.50341713,0.76092017,-0.76381755,
0.23988774,0.4670056,0.37301314,
0.9237325,-0.32624233,-0.21875948,
-0.6006992,-0.5670994,-0.7454873,
-0.7011179,0.5622028,0.6445931,
0.53692436,0.035379052,-0.075634524,
-0.61353564,0.03775215,-0.39803657,
0.46881175,0.1874615,0.5245451,
0.64506304,-0.10551439,0.056173325,
-0.23320341,-0.6717628,0.44377434,
0.3573612,-0.74731004,0.24305604,
0.6955401,0.8434278,-0.109793186,
0.8849263,-0.7565125,-0.37743998,
-1.0,-0.3653705,-0.30601585,
0.6481967,-0.5538193,0.113904595,
0.18183362,-0.043502003,-0.46277738,
0.089105844,0.13845457,0.29588044,
-0.32809266,0.67429686,-0.7424594,
-0.028412461,-0.38828024,0.76055646,
0.3911134,0.25930786,0.5355859,
-0.72686017,-0.05394399,0.030365229,
0.46356776,0.44817573,-0.22207344,
-0.9667577,-0.12920499,-0.105356395,
0.47030118,0.6144589,0.81383646,
0.69413424,0.24971807,-0.72412455,
0.34379518,0.7212404,-0.8474879,
-0.23066002,-0.43984997,-0.016473234,
0.88543797,-0.5835471,-0.14177501,
0.2718,0.6472552,0.09269371,
0.3571806,0.015829876,0.03873372,
0.83916116,-0.23288912,0.9102105,
0.06685829,-0.4531225,0.49938637,
-0.09805536,0.94183826,-0.7146201,
-0.82157147,0.34290624,0.07301402,
0.8080201,-0.7380074,0.07993162,
0.3107854,-0.53280246,1.0,
0.54835904,0.12477565,0.48903218,
-0.5525992,0.44035828,-0.82428706,
0.30354774,0.6762403,-0.7555535,
0.57573354,-0.69971645,-0.3265735,
0.7988825,0.8940071,0.33261037,
-0.047076255,0.00893867,0.3140691,
0.18206453,-0.43128824,0.619846,
-0.1654731,0.6681006,-0.15415633,
-0.048998326,0.9092121,0.7386363,
